wikidata_id,wikipedia_en_name_from_pdf,wikipedia_he_name_from_pdf,pdf_page
Q6560952,,רב אחא ברדלא,1
Q6565343,,רבי יצחק בר אבא,1
Q6569449,Avimi,בדור השני(,1
Q6570438,,רב יוסף בר אבא,1
Q6570811,,רבי יאשיה )אמורא(,1
Q6574595,,רב יחיאל,1
Q6575870,,בן חנניה( בן גרון,1
Q6576617,,רב רחומי הראשון,1
Q6578146,,רב זביד מנהרדעא,1
Q6579674,,יהודה בן דורתאי,1
Q6579852,,רב חיננא בר שלמיא,1
Q6580650,,נחמיה העמסוני,1
Q6582301,,רב אחא בר אדא,1
Q6583204,,רבי מנחם ברבי יוסי,1
Q6583256,,חייא בר רב,1
Q6583649,,ייבא חמוה דאשיין בר נדבך,1
Q6586634,Judah ben Dama,יהודה בן דמא,1
Q6587609,Rami Bar Yechezkel,רמי בר יחזקאל,1
Q6588632,Rachava of Pumbedita,רחבה דפומבדיתא,1
Q6589258,Shimon ben Pazi,ר' סימון,1
Q6591269,,רבא בריה דרבה,1
Q6593168,,לשכת פנחס המלביש,1
Q6594539,Shimon ben Nethanel,רבי שמעון בן נתנאל,1
Q6603176,Rav Yechezkel,רב יחזקאל,1
Q6605745,,רב אידי בר אבין )השני(,1
Q6609431,,רב הונא בריה דרב איקא,1
Q6609470,,יוסף משיתא,1
Q6610784,,אלישע בעל כנפיים,1
Q6613420,Rabin (amora,ר' אבין,1
Q6616359,,בן ציצית הכסת,1
Q6619381,,יששכר איש כפר ברקאי,1
Q6619992,,רבי שמעון בן אליקים,1
Q6620412,,חנן בישא,1
Q6646819,,תודוס איש רומי,1
Q6652492,,רבי יוחנן בן גודגדא,1
Q6652870,,רב נחמיה בריה דרב יוסף,1
Q6655797,Rav Matna,רב מתנה,1
Q6658025,Rafram Bar Papa,רפרם בר פפא א(,1
Q666152,Aristobulus III of Judea,אריסטובולוס השלישי,1
Q666202,Aristobulus of Chalcis,אריסטובולוס )מלך כלקיס(,1
Q666507,Sextus Julius Severus,יוליוס סוורוס,1
Q6667270,,רב שימי בר אשי,1
Q6669039,,רב חנן בר אמי,1
Q6687221,,רב יוסף בריה דרבא,1
Q6696999,Shimon ben Halafta,רבי שמעון בן חלפתא,1
Q6704944,,רבי אלעזר בן דורדיא,1
Q6708091,Rabbah Bar Rav Hanan,רבא בר רב חנן,1
Q6715250,Hanan bar Rava,רב חנן בר רבא,1
Q6715844,Rav Dimi,רב דימי,1
Q6736038,,רב אחא מדיפתא,1
Q6738441,Rav Kahana I,רב כהנא א(,1
Q6738827,,רב יעקב מנהר פקוד,1
Q6741480,,הונא,1
Q6742132,,חסדא,1
Q6743150,,קטיעה בר שלום,1
Q6747024,Manasseh,מנשה הכהן הגדול,1
Q6752966,,רב יהודה בר חביבא,1
Q6754446,Mar Ukva,מר עוקבא,1
